CustomerID,Segment,recency,frequency,monetary,aov,tenure_days,R_score,F_score,M_score,RFM_total,primary_country
12347,Champions,2,7,4310.0,615.7142857142857,365,5.0,3.0,5.0,13.0,Iceland
12349,At Risk,18,1,1457.55,1457.55,0,4.0,3.0,4.0,11.0,Italy
12350,Hibernating,310,1,294.4,294.4,0,1.0,3.0,2.0,6.0,Norway
12352,Loyal Customers,36,7,1385.74,197.96285714285713,260,3.0,3.0,4.0,10.0,Norway
12353,Hibernating,204,1,89.0,89.0,0,1.0,3.0,1.0,5.0,Bahrain
12354,Hibernating,232,1,1079.4,1079.4,0,1.0,3.0,4.0,8.0,Spain
12355,Hibernating,214,1,459.4,459.4,0,1.0,3.0,3.0,7.0,Bahrain
12358,At Risk,1,2,928.0600000000001,464.03000000000003,149,5.0,3.0,4.0,12.0,Austria
12359,Loyal Customers,57,4,6310.03,1577.5075,274,3.0,3.0,5.0,11.0,Cyprus
12360,Loyal Customers,52,3,2302.06,767.3533333333334,148,3.0,3.0,5.0,11.0,Austria
12361,Hibernating,287,1,174.9,174.9,0,1.0,3.0,1.0,5.0,Belgium
12362,Champions,3,10,4737.23,473.72299999999996,292,5.0,3.0,5.0,13.0,Belgium
12363,Hibernating,109,2,552.0,276.0,132,2.0,3.0,3.0,8.0,Unspecified
12364,Loyal Customers,7,4,1208.1,302.025,104,5.0,3.0,4.0,12.0,Belgium
12365,Hibernating,291,1,320.69,320.69,0,1.0,3.0,2.0,6.0,Cyprus
12367,At Risk,4,1,150.9,150.9,0,5.0,3.0,1.0,9.0,Denmark
12370,Loyal Customers,51,4,3421.94,855.485,309,3.0,3.0,5.0,11.0,Cyprus
12371,Loyal Customers,59,1,1527.96,1527.96,0,3.0,3.0,4.0,10.0,Switzerland
12372,Loyal Customers,71,3,1196.04,398.68,224,2.0,3.0,4.0,9.0,Denmark
12373,Hibernating,311,1,324.6,324.6,0,1.0,3.0,2.0,6.0,Austria
12374,At Risk,25,1,622.9300000000001,622.9300000000001,0,4.0,3.0,3.0,10.0,Austria
12375,At Risk,10,2,377.5,188.75,87,5.0,3.0,2.0,10.0,Finland
12377,Loyal Customers,315,2,1548.12,774.06,39,1.0,3.0,4.0,8.0,Switzerland
12378,Loyal Customers,129,1,4008.62,4008.62,0,2.0,3.0,5.0,10.0,Switzerland
12379,Loyal Customers,81,2,777.24,388.62,88,2.0,3.0,3.0,8.0,Belgium
12380,Loyal Customers,21,4,2427.81,606.9525,164,4.0,3.0,5.0,12.0,Belgium
12381,At Risk,4,3,1474.81,491.6033333333333,115,5.0,3.0,4.0,12.0,Norway
12383,Loyal Customers,184,5,1628.56,325.712,167,1.0,3.0,4.0,8.0,Belgium
12384,At Risk,28,2,425.27,212.635,92,4.0,3.0,2.0,9.0,Switzerland
12388,Champions,15,6,2780.66,463.4433333333333,311,4.0,3.0,5.0,12.0,Australia
12390,Hibernating,79,1,504.84000000000003,504.84000000000003,0,2.0,3.0,3.0,8.0,Belgium
12391,At Risk,21,1,439.66,439.66,0,4.0,3.0,2.0,9.0,Cyprus
12393,Loyal Customers,72,4,1582.6000000000001,395.65000000000003,260,2.0,3.0,4.0,9.0,Australia
12395,Champions,19,12,2682.63,223.5525,351,4.0,3.0,5.0,12.0,Belgium
12397,Loyal Customers,35,2,2214.9,1107.45,99,3.0,3.0,5.0,11.0,Belgium
12398,Loyal Customers,45,1,1435.66,1435.66,0,3.0,3.0,4.0,10.0,Switzerland
12401,Hibernating,303,1,69.3,69.3,0,1.0,3.0,1.0,5.0,Belgium
12402,Hibernating,323,1,195.6,195.6,0,1.0,3.0,1.0,5.0,Belgium
12405,Hibernating,148,1,1390.39,1390.39,0,2.0,3.0,4.0,9.0,Finland
12406,Loyal Customers,22,2,3415.3,1707.65,161,4.0,3.0,5.0,12.0,Denmark
12407,Loyal Customers,49,5,1507.12,301.424,214,3.0,3.0,4.0,10.0,Belgium
12408,Loyal Customers,32,5,2618.5499999999997,523.7099999999999,227,4.0,3.0,5.0,12.0,Belgium
12410,Hibernating,308,2,533.33,266.665,0,1.0,3.0,3.0,7.0,Switzerland
12412,Loyal Customers,74,3,1142.88,380.96000000000004,94,2.0,3.0,4.0,9.0,Denmark
12413,Loyal Customers,66,3,686.1,228.70000000000002,270,3.0,3.0,3.0,9.0,France
12414,Hibernating,217,3,442.41,147.47,93,1.0,3.0,2.0,6.0,Austria
12417,Champions,3,9,3226.1,358.4555555555555,354,5.0,3.0,5.0,13.0,Belgium
12418,Hibernating,112,1,668.58,668.58,0,2.0,3.0,3.0,8.0,Switzerland
12420,Hibernating,63,1,600.39,600.39,0,3.0,3.0,3.0,9.0,Cyprus
12421,At Risk,15,4,639.04,159.76,303,4.0,3.0,3.0,10.0,Spain
12422,Loyal Customers,95,3,683.5600000000001,227.85333333333335,229,2.0,3.0,3.0,8.0,Australia
12423,Champions,0,8,1634.31,204.28875,352,5.0,3.0,4.0,12.0,Belgium
12425,Hibernating,78,1,777.2,777.2,0,2.0,3.0,3.0,8.0,Portugal
12426,Hibernating,194,1,510.73,510.73,0,1.0,3.0,3.0,7.0,Germany
12427,At Risk,21,3,699.8,233.26666666666665,349,4.0,3.0,3.0,10.0,Germany
12428,Champions,25,8,6405.26,800.6575,257,4.0,3.0,5.0,12.0,Finland
12429,Champions,9,4,3388.4,847.1,356,5.0,3.0,5.0,13.0,Denmark
12430,Hibernating,43,1,216.4,216.4,0,3.0,3.0,1.0,7.0,Norway
12431,Champions,35,15,6314.95,420.99666666666667,338,3.0,3.0,5.0,11.0,Australia
12432,Loyal Customers,42,4,4359.32,1089.83,129,3.0,3.0,5.0,11.0,Norway
12434,Loyal Customers,84,2,806.14,403.07,175,2.0,3.0,3.0,8.0,Australia
12436,Hibernating,99,1,429.01000000000005,429.01000000000005,0,2.0,3.0,2.0,7.0,Norway
12437,Champions,1,18,4447.41,247.07833333333332,329,5.0,3.0,5.0,13.0,France
12438,Loyal Customers,14,2,2466.85,1233.425,125,5.0,3.0,5.0,13.0,Norway
12441,Hibernating,366,1,155.55,155.55,0,1.0,3.0,1.0,5.0,France
12442,At Risk,3,1,144.06,144.06,0,5.0,3.0,1.0,9.0,Spain
12444,Champions,21,5,4085.46,817.092,149,4.0,3.0,5.0,12.0,Norway
12445,At Risk,22,1,77.4,77.4,0,4.0,3.0,1.0,8.0,Spain
12446,At Risk,57,1,1002.3100000000001,1002.3100000000001,0,3.0,3.0,4.0,10.0,RSA
12447,Hibernating,243,1,431.49,431.49,0,1.0,3.0,2.0,6.0,Belgium
12448,At Risk,44,1,365.45,365.45,0,3.0,3.0,2.0,8.0,Spain
12449,Loyal Customers,22,4,3596.29,899.0725,164,4.0,3.0,5.0,12.0,Belgium
12450,Hibernating,156,2,197.88,98.94,17,2.0,3.0,1.0,6.0,Spain
12451,Champions,10,5,8995.52,1799.104,313,5.0,3.0,5.0,13.0,Switzerland
12452,At Risk,16,1,348.57,348.57,0,4.0,3.0,2.0,9.0,Switzerland
12453,Hibernating,134,1,707.09,707.09,0,2.0,3.0,3.0,8.0,Austria
12456,Loyal Customers,44,3,2581.04,860.3466666666667,210,3.0,3.0,5.0,11.0,Switzerland
12457,Loyal Customers,66,6,2043.23,340.53833333333336,172,3.0,3.0,5.0,11.0,Switzerland
